Material,Matl group,Size/dimensions
32991,D12C2,None
34603,ASSTNOTED,None
34606,ASSTNOTED,None
34609,ASSTNOTED,None
34640,ASSTNOTED,None
34642,ASSTNOTED,None
34673,ASSTNOTED,None
34677,ASSTNOTED,None
34689,ASSTNOTED,None
34695,ASSTNOTED,None
34701,ASSTNOTED,None
34703,ASSTNOTED,None
34704,ASSTNOTED,None
34706,ASSTNOTED,None
34708,ASSTNOTED,None
34709,ASSTNOTED,None
34710,ASSTNOTED,None
34711,ASSTNOTED,None
34712,ASSTNOTED,None
34713,ASSTNOTED,None
34715,ASSTNOTED,None
34716,ASSTNOTED,None
34717,ASSTNOTED,None
35033,D12BN2,None
35039,D12BN2,None
35117,D12BN2,None
35155,D12BN2,None
35336,D12BN2,None
35467,D12BN2,None
35473,D12BN2,None
35484,D12BN2,None
35485,D12BN2,None
35548,D12BN2,None
35549,D12BN2,None
35562,D12BN2,None
35563,D12BN2,None
35569,D12BN2,None
35575,D12BN2,None
35581,D12BN2,None
35583,D12BN2,None
35586,D12BN2,None
35588,D12BN2,None
35594,D12BN2,None
35595,D12BN2,None
35595QA01,D12BN2,None
35598,D12BN2,None
35600,D12BN2,None
35601,D12BN2,None
35602,D12BN2,None
35614,D12BN2,None
35622,D12BN2,None
35626,D12BN2,None
35627,D12BN2,None
35637,D12BN2,None
35639,D12BN2,None
35639QA01,D12BN2,None
35641,D12BN2,None
35642,D12BN2,None
35643,D12BN2,None
35644,D12BN2,None
35645,D12BN2,None
35647,D12BN2,None
35648,D12BN2,None
35649,D12BN2,None
35655,D12BN2,None
35656,D12BN2,None
35658,D12BN2,None
35658QA01,D12BN2,None
35659,D12BN2,None
35659QA01,D12BN2,None
35660,D12BN2,None
35662,D12BN2,None
35663,D12BN2,None
35664,D12BN2,None
35665,D12BN2,None
35666,D12BN2,None
35667,D12BN2,None
35668,D12BN2,None
35670,D12BN2,None
35671,D12BN2,None
35672,D12BN2,None
35673,D12BN2,None
35675,D12BN2,None
35676,D12BN2,None
35676QA01,D12BN2,None
35677,D12BN2,None
35678,D12BN2,None
35679,D12BN2,None
35680,D12BN2,None
35681,D12BN2,None
35682,D12BN2,None
35683,D12BN2,None
35683QA01,D12BN2,None
35684,D12BN2,None
35685,D12BN2,None
35685QA01,D12BN2,None
35686,D12BN2,None
35686QA01,D12BN2,None
35687,D12BN2,None
35688,D12BN2,None
35689,D12BN2,None
35689QA01,D12BN2,None
35691,D12BN2,None
35691QA01,D12BN2,None
35692,D12BN2,None
35693,D12BN2,None
35694,D12BN2,None
35694QA01,D12BN2,None
35695,D12BN2,None
35695QA01,D12BN2,None
35696,D12BN2,None
35697,D12BN2,None
35697QA01,D12BN2,None
35875,D12BN2,None
35880,D12BN2,None
35917,D12BN2,None
35933,D12BN2,None
35961,D12BN2,None
35964,D12BN2,None
35978,D12BN2,None
35995,D12BN2,None
35999,D12BN2,None
37211,CZFOLD100,GLZ
37230,CZFOLD100,FSZ
37553,QNC100,None
38819,D12C2,None
39401,DNC130,GLDX46
39402,DNC130,GLEBX-CCC
39403,DNC130,EBX-DDDDX38
39413,DNC130,GLEBX-IIIDX38
39414,DNC130,GLPI
39415,DNC130,GLPI
39416,DNC130,FSGL
39422,DNC130,FSGL
39423,DNC130,FSGL
39424,DNC130,FSGL
39426,DNC130,FSGL
39438,DNC130,PI
39439,DNC130,PI
39446,DNC130,GLPI
39447,DNC130,FSPI
39451,DNC130,GLEBX-TTTPI
39451QA01,DNC130,GLEBX-TTTPI
39451QC01,DNC130,GLEBX-TTTPI
39452,DNC130,GL
39454,DNC130,FSPI
39455,DNC130,GL
39460,DNC130,FSGL
39463,DNC130,FSGLPI
39464,DNC130,FS
39465,DNC130,FSPI
39465QA01,DNC130,FSPI
39466,DNC130,GLDX38
39467,DNC130,GLPI
40050101,D12C2,UV
40050201,D12C2,None
40050301,D12C2,None
40050401,D12C2,None
40050501,D12C2,None
40050601,D12C2,None
40050701,D12C2,None
40050801,D12C2,None
40050901,D12C2,None
40051001,D12C2,None
40051001QA01,D12C2,None
40051101,D12C2,None
40051201,D12C2,None
40051301,D12C2,None
40051401,D12C2,None
40053701,D12C2,None
40053901,D12C2,FS
40054401,D12C2,SV
40054501,D12C2,None
40054601,D12C2,None
40054701,D12C2,TI
40054801,D12C2,FSGL
40055001,D12C2,AU
40055201,D12C2,FS
40055301,D12C2,FS
40055401,D12C2,UV
40055501,D12C2,FS
40055601,D12C2,SV
40055701,D12C2,UV
40059002,D12C2,SVTI
40059101,D12C2,UV
40059101QA01,D12C2,UV
40059201,D12C2,TH
40059301,D12C2,SV
40059401,D12C2,None
40059501,D12C2,None
40059601,D12C2,None
40059801,D12C2,None
40059901,D12C2,None
40060101,D12C2,UV
40060201,D12C2,UV
40060301,D12C2,None
40060401,D12C2,None
40060501,D12C2,UV
40060601,D12C2,None
40060701,D12C2,None
40060801,D12C2,None
40061001,D12C2,SV
40061101,D12C2,None
40061301,D12C2,None
40061401,D12C2,None
40061501,D12C2,None
40061601,D12C2,None
40061701,D12C2,None
40061901,D12C2,None
40062001,D12C2,None
40062201,D12C2,None
40062501,D12C2,None
40062601,D12C2,None
40062901,D12C2,None
40063101,D12C2,None
40063201,D12C2,None
40063501,D12C2,UV
40063601,D12C2,None
40063701,D12C2,None
40064001,D12C2,TH
40064201,D12C2,None
40064301,D12C2,GL
40064401,D12C2,GL
40064501,D12C2,TH
40064801,D12C2,None
40065301,D12C2,None
40069501,D12C2,GL
40072401,D12C2,None
40072801,D12C2,None
40072901,D12C2,None
40073101,D12C2,None
40073201,D12C2,None
40073301,D12C2,None
40073401,D12C2,None
40073501,D12C2,None
40073601,D12C2,None
40073801,D12C2,None
40074001,D12C2,None
40074101,D12C2,None
40074601,D12C2,FS
40074701,D12C2,None
40074801,D12C2,None
40074901,D12C2,None
40075001,D12C2,None
40076101,D12C2,FS
40076201,D12C2,GL
40076701,D12C2,FSGL
40076801,D12C2,GL
40076901,D12C2,FS
40077001,D12C2,UV
40077101,D12C2,FS
40077201,D12C2,TH
40077301,D12C2,GL
40077401,D12C2,TH
40077501,D12C2,TH
40077601,D12C2,FSTI
40077701,D12C2,TI
40077701QC01,D12C2,TI
40077801,D12C2,FSGLTI
40077901,D12C2,FSGLTI
40078401,D12C2,UV
40078501,D12C2,UV
40078601,D12C2,FSTI
40078601QC01,D12C2,FSTI
40078701,D12C2,FSGL
40078801,D12C2,UV
40078901,D12C2,TH
40079001,D12C2,FSGL
40079101,D12C2,TH
40079201,D12C2,FS
40079301,D12C2,FSGL
40079401,D12C2,TH
40079501,D12C2,FSGLTI
40079601,D12C2,GL
40079701,D12C2,FS
40079801,D12C2,TH
40079901,D12C2,FS
40080001,D12C2,TH
40080101,D12C2,FS
40080201,D12C2,FS2
40080301,D12C2,UV
40080401,D12C2,TH
40080501,D12C2,TH
40080601,D12C2,SV
40080701,D12C2,TH
40080801,D12C2,TH
40080901,D12C2,FSTI
40081001,D12C2,UVTI
40081101,D12C2,UVTI
40081201,D12C2,FSTI
40085401,D12C2,FSTI
40085501,D12C2,FSGLTI
40085701,D12C2,TH
40085801,D12C2,FSGL
40085901,D12C2,TH
40086201,D12C2,FS
40086201QC01,D12C2,FS
40086301,D12C2,FS2
40086501,D12C2,TH
40086601,D12C2,UV
40090801,D12C2,None
40090901,D12C2,None
40091001,D12C2,None
40091101,D12C2,None
40091201,D12C2,None
40091301,D12C2,UV
40091601,D12C2,None
40091701,D12C2,None
40091801,D12C2,None
40091901,D12C2,TH
40092001,D12C2,TH
40092101,D12C2,None
40092201,D12C2,None
40092301,D12C2,None
40092401,D12C2,None
40092501,D12C2,None
40092601,D12C2,None
40092701,D12C2,None
40092801,D12C2,None
40092901,D12C2,None
40093001,D12C2,None
40093101,D12C2,None
40093201,D12C2,None
40093201QA01,D12C2,None
40093301,D12C2,None
40093401,D12C2,None
40093501,D12C2,None
40093601,D12C2,None
40093701,D12C2,None
40093801,D12C2,None
40093901,D12C2,None
40094001,D12C2,None
40094101,D12C2,None
40094201,D12C2,GL
40094301,D12C2,None
40094401,D12C2,None
40094501,D12C2,None
40094601,D12C2,None
40094701,D12C2,None
40094801,D12C2,None
40094901,D12C2,None
40095001,D12C2,None
40095101,D12C2,None
40095201,D12C2,None
40095301,D12C2,SV
40095401,D12C2,None
40095501,D12C2,GL
40095601,D12C2,SV
40095701,D12C2,TH
40095801,D12C2,FS
40095901,D12C2,UV
40096001,D12C2,UV
40096101,D12C2,TH
40096301,D12C2,FS2
40096401,D12C2,GL
40096501,D12C2,FS
40096601,D12C2,TH
40096701,D12C2,SV
40096801,D12C2,TH
40096901,D12C2,FS
40097001,D12C2,UV
40097101,D12C2,UV
40097201,D12C2,GL
40097301,D12C2,TH
40097401,D12C2,FS
40097501,D12C2,FS
40097601,D12C2,GLTI
40097701,D12C2,FS
40097801,D12C2,GL
40098001,D12C2,FS
40098101,D12C2,FSGLTI
40098201,D12C2,FS
40098301,D12C2,FS
40098401,D12C2,None
40098401QA01,D12C2,None
40098501,D12C2,SV
40098601,D12C2,FS
40098701,D12C2,None
40098801,D12C2,None
40098901,D12C2,None
40099001,D12C2,FS2
40099101,D12C2,GLCVP1
40099201,D12C2,GLCVP1
40099301,D12C2,GL
40099401,D12C2,CVP1
40099501,D12C2,None
40099601,D12C2,FS
40099701,D12C2,None
40099801,D12C2,UV
40100001,D12C2,FS
40100101,D12C2,FS
40100201,D12C2,None
40100401,D12C2,UV
40100501,D12C2,None
40100601,D12C2,CVP1
40100701,D12C2,None
40100801,D12C2,None
40100901,D12C2,CVP1
40101001,D12C2,GL
40101101,D12C2,UV
40101201,D12C2,FSCVP1
40101301,D12C2,GL
40101401,D12C2,AU
40101501,D12C2,None
40101601,D12C2,None
40101701,D12C2,GLCVP1
40101801,D12C2,GLCVP1
40101901,D12C2,CVP1
40102001,D12C2,GL
40102101,D12C2,UV
40102201,D12C2,GL
40102301,D12C2,FS
40102401,D12C2,None
40102501,D12C2,None
40102601,D12C2,None
40102701,D12C2,FS
40102801,D12C2,None
40102901,D12C2,FS
40103001,D12C2,GL
40103101,D12C2,UV
40103201,D12C2,FS
40103201QA01,D12C2,FS
40103301,D12C2,GL
40103401,D12C2,UV
40103501,D12C2,SV
40103601,D12C2,FSGL
40103701,D12C2,UV
40103801,D12C2,GL
40103901,D12C2,SV
40103901QA01,D12C2,SV
40104001,D12C2,TH
40104101,D12C2,GL
40104201,D12C2,GL
40104301,D12C2,GL
40104401,D12C2,UV
40104501,D12C2,UV
40104601,D12C2,GL
40104701,D12C2,GL
40104801,D12C2,TH
40104901,D12C2,UV
40105001,D12C2,FSGL
40105101,D12C2,FS
40105201,D12C2,SV
40105301,D12C2,TH
40105301QA01,D12C2,TH
40105401,D12C2,SVCX80
40105501,D12C2,FSTI
40105601,D12C2,TH
40105601QA01,D12C2,TH
40105701,D12C2,FS
40105701QA01,D12C2,FS
40105801,D12C2,None
40105901,D12C2,None
40106001,D12C2,None
40106101,D12C2,None
40106201,D12C2,None
40106201QC01,D12C2,None
40106301,D12C2,None
40106401,D12C2,None
40106501,D12C2,None
40106601,D12C2,None
40106701,D12C2,None
40106801,D12C2,None
40106901,D12C2,None
40107001,D12C2,None
40107101,D12C2,None
40107201,D12C2,None
40107301,D12C2,FS2CB7
40107401,D12C2,FSCB5
40107501,D12C2,None
40107601,D12C2,None
40107701,D12C2,None
40107801,D12C2,None
40107901,D12C2,GLTH
40108001,D12C2,None
40108101,D12C2,None
40108201,D12C2,None
40108301,D12C2,None
40108401,D12C2,None
40108501,D12C2,None
40108601,D12C2,None
